Date_row,Open,High,Low,Close,Adj Close,Volume
13/02/2024,17.52700043,17.55525017,17.28389931,17.52700043,17.52700043,0
14/02/2024,17.47212982,17.57835007,17.39310074,17.47212982,17.47212982,0
15/02/2024,17.5352993,17.59077072,17.45299911,17.5352993,17.5352993,0
16/02/2024,17.47019958,17.57403946,17.46096039,17.47019958,17.47019958,0
17/02/2024,17.52519989,17.59757042,17.46859932,17.52519989,17.52519989,0
18/02/2024,17.78936005,17.93585014,17.69403076,17.78936005,17.78936005,0
19/02/2024,17.65640068,17.72200012,17.56509972,17.65640068,17.65640068,0
20/02/2024,17.60009956,17.62829971,17.34490013,17.60009956,17.60009956,0
21/02/2024,17.33250046,17.40875053,17.29260063,17.33250046,17.33250046,0
22/02/2024,17.29616928,17.33020973,17.20610046,17.29616928,17.29616928,0
23/02/2024,17.22579956,17.25731087,17.18129921,17.22579956,17.22579956,0
24/02/2024,17.21968079,17.24830055,17.10519981,17.21968079,17.21968079,0
25/02/2024,17.11074066,17.22160912,17.05120087,17.11074066,17.11074066,0
26/02/2024,17.18959999,17.24834061,17.15390015,17.18959999,17.18959999,0
27/02/2024,17.19519043,17.20155907,17.13299942,17.19519043,17.19519043,0
28/02/2024,17.18650055,17.18687057,17.08169937,17.18650055,17.18650055,0
29/02/2024,17.11385918,17.19420052,17.02059937,17.11385918,17.11385918,0
01/03/2024,17.15859985,17.20955086,17.10680008,17.15859985,17.15859985,0
02/03/2024,17.12100029,17.22705078,17.10050011,17.12100029,17.12100029,0
03/03/2024,17.28280067,17.49628067,17.24410057,17.28280067,17.28280067,0
04/03/2024,17.37630081,17.38715935,17.17720032,17.37630081,17.37630081,0
05/03/2024,17.18876076,17.42435074,17.17679977,17.18876076,17.18876076,0
06/03/2024,17.45409966,17.56125069,17.41349983,17.45409966,17.45409966,0
07/03/2024,17.35829926,17.37841034,17.23360062,17.35829926,17.35829926,0
08/03/2024,17.28746033,17.44463921,17.26689911,17.28746033,17.28746033,0
09/03/2024,17.47204971,17.5080204,17.29540062,17.47204971,17.47204971,0
10/03/2024,17.3470993,17.46274948,17.33600044,17.3470993,17.3470993,0
11/03/2024,17.36989975,17.43400002,17.28849983,17.36989975,17.36989975,0
12/03/2024,17.30376053,17.45786095,17.29140091,17.30376053,17.30376053,0
13/03/2024,17.26226044,17.39369011,17.20210075,17.26226044,17.26226044,0
14/03/2024,17.1903801,17.33898926,17.15699959,17.1903801,17.1903801,0
15/03/2024,17.22120094,17.29635048,17.19519997,17.22120094,17.22120094,0
16/03/2024,17.16270065,17.16616058,17.02199936,17.16270065,17.16270065,0
17/03/2024,17.05979919,17.10564995,17.01479912,17.05979919,17.05979919,0
18/03/2024,17.13316917,17.13431931,17.02799988,17.13316917,17.13316917,0
19/03/2024,17.03126907,17.0488205,16.91889954,17.03126907,17.03126907,0
20/03/2024,16.97837067,16.99620056,16.97146988,16.97837067,16.97837067,0
21/03/2024,16.97520065,16.99588013,16.93330002,16.97520065,16.97520065,0
22/03/2024,16.97360039,16.99459076,16.89389992,16.97360039,16.97360039,0
23/03/2024,16.91360092,16.93004036,16.84700012,16.91360092,16.91360092,0
24/03/2024,16.95120049,16.98785019,16.88069916,16.95120049,16.95120049,0
25/03/2024,16.96343994,16.96343994,16.96334076,16.96343994,16.96343994,0
26/03/2024,16.96250916,17.06451035,16.89529991,16.96250916,16.96250916,0
27/03/2024,17.01939964,17.09824944,17.00359917,17.01939964,17.01939964,0
28/03/2024,17.01214981,17.08370018,16.96549988,17.01214981,17.01214981,0
29/03/2024,17.00860023,17.06682014,16.87030029,17.00860023,17.00860023,0
30/03/2024,16.88093948,16.90715027,16.77319908,16.88093948,16.88093948,0
31/03/2024,16.83370018,16.95779037,16.80380058,16.83370018,16.83370018,0
01/04/2024,16.96665955,17.01959991,16.93989944,16.96665955,16.96665955,0
02/04/2024,16.98166084,17.05352974,16.93849945,16.98166084,16.98166084,0
03/04/2024,16.90155983,16.91960907,16.81970024,16.90155983,16.90155983,0
04/04/2024,16.86907005,16.91062927,16.85320091,16.86907005,16.86907005,0
05/04/2024,16.88479996,17.20155907,16.88509941,16.88479996,16.88479996,0
06/04/2024,17.19790077,17.38165092,17.19779968,17.19790077,17.19790077,0
07/04/2024,17.19260025,17.23240089,17.14170074,17.19260025,17.19260025,0
08/04/2024,17.16835976,17.18733025,17.09840012,17.16835976,17.16835976,0
09/04/2024,17.09314919,17.17099953,17.05120087,17.09314919,17.09314919,0
10/04/2024,17.17469978,17.37517929,17.14119911,17.17469978,17.17469978,0
11/04/2024,17.30606079,17.31528091,17.12660027,17.30606079,17.30606079,0
12/04/2024,17.23415947,17.26400948,17.15970039,17.23415947,17.23415947,0
13/04/2024,17.18950081,17.21508026,17.12100029,17.18950081,17.18950081,0
14/04/2024,17.16861916,17.24735069,17.13240051,17.16861916,17.16861916,0
15/04/2024,17.21956062,17.25222969,17.15859985,17.21956062,17.21956062,0
16/04/2024,17.15270996,17.20084953,17.09645081,17.15270996,17.15270996,0
17/04/2024,17.2175293,17.28222084,17.08790016,17.2175293,17.2175293,0
18/04/2024,17.06749916,17.17923927,17.02630043,17.06749916,17.06749916,0
19/04/2024,17.15069008,17.27737999,17.11440086,17.15069008,17.15069008,0
20/04/2024,17.10910034,17.1235199,17.0128994,17.10910034,17.10910034,0
21/04/2024,17.02799988,17.06652069,16.99295044,17.02799988,17.02799988,0
22/04/2024,17.04540062,17.12755013,17.0272007,17.04540062,17.04540062,0
23/04/2024,17.13170052,17.17225075,17.06240082,17.13170052,17.13170052,0
24/04/2024,17.07542992,17.08374977,17.03380013,17.07542992,17.07542992,0
25/04/2024,17.06776047,17.22149086,17.05419922,17.06776047,17.06776047,0
26/04/2024,17.2020092,17.20256996,17.08119965,17.2020092,17.2020092,0
27/04/2024,17.07519913,17.10021973,17.03140068,17.07519913,17.07519913,0
28/04/2024,17.04017067,17.09481049,17.01530075,17.04017067,17.04017067,0
29/04/2024,17.04529953,17.06174088,17.0189991,17.0429306,17.0429306,0
30/04/2024,17.03420067,17.06285095,16.98040009,17.03420067,17.03420067,0
01/05/2024,17.05979919,17.07369041,17.02639961,17.05979919,17.05979919,0
02/05/2024,17.03310013,17.15189934,16.99790001,17.03310013,17.03310013,0
03/05/2024,17.10733986,17.15031052,17.05780029,17.10733986,17.10733986,0
04/05/2024,17.1099205,17.14082909,17.06769943,17.11392975,17.11392975,0
05/05/2024,17.08169937,17.10301971,17.03129959,17.08169937,17.08169937,0
06/05/2024,17.06695938,17.1093502,17.05190086,17.06695938,17.06695938,0
07/05/2024,17.08729935,17.09954071,17.04129982,17.08729935,17.08729935,0
08/05/2024,17.05006027,17.05664063,16.98670006,17.05006027,17.05006027,0
09/05/2024,17.0093708,17.01992989,16.95159912,17.0093708,17.0093708,0
10/05/2024,16.9550705,16.97862053,16.8927002,16.9550705,16.9550705,0
11/05/2024,16.9321003,16.9500103,16.83709908,16.9321003,16.9321003,0
12/05/2024,16.86779976,16.9191494,16.83550072,16.86779976,16.86779976,0
13/05/2024,16.86470032,16.88557053,16.75550079,16.86470032,16.86470032,0
14/05/2024,16.80361938,16.82284927,16.76799965,16.80361938,16.80361938,0
15/05/2024,16.79896927,16.84658051,16.76790047,16.79896927,16.79896927,0
16/05/2024,16.78429985,16.79776001,16.72859955,16.78429985,16.78429985,0
17/05/2024,16.6693306,16.72475052,16.63689995,16.6693306,16.6693306,0
18/05/2024,16.70186043,16.73520088,16.65410042,16.70186043,16.70186043,0
19/05/2024,16.72039986,16.79281998,16.66900063,16.72039986,16.72039986,0
20/05/2024,16.83086014,16.94380951,16.80380058,16.83086014,16.83086014,0
21/05/2024,16.79990005,16.84674072,16.76169968,16.79990005,16.79990005,0
22/05/2024,16.66769981,16.76981926,16.65480042,16.66769981,16.66769981,0
23/05/2024,16.72680092,16.82332039,16.68379974,16.72680092,16.72680092,0
24/05/2024,16.75830078,16.76646996,16.6826992,16.75830078,16.75830078,0
25/05/2024,16.67070007,16.71261024,16.65159988,16.67070007,16.67070007,0
26/05/2024,16.63159943,16.67308998,16.51029968,16.63159943,16.63159943,0
27/05/2024,16.55069923,16.62540054,16.5291996,16.55069923,16.55069923,0
28/05/2024,16.60284042,16.61030006,16.53269958,16.60284042,16.60284042,0
29/05/2024,16.55545044,16.66814995,16.52149963,16.55545044,16.55545044,0
30/05/2024,16.60880089,16.6501503,16.5576992,16.60880089,16.60880089,0
31/05/2024,16.54990005,16.61314964,16.53190041,16.54990005,16.54990005,0
01/06/2024,16.52700043,16.55979919,16.49550056,16.52700043,16.52700043,0
02/06/2024,16.57320023,16.6007309,16.43040085,16.57320023,16.57320023,0
03/06/2024,16.45199966,16.49139023,16.30990028,16.45199966,16.45199966,0
04/06/2024,16.31430054,16.36639977,16.24769974,16.31430054,16.31430054,0
05/06/2024,16.38331032,16.51802063,16.29800034,16.38331032,16.38331032,0
06/06/2024,16.45249939,16.48685074,16.37529945,16.45249939,16.45249939,0
