0.448,0.0743,5,-22.274,1,0.112,0.992,0.818,0.0921,0.204,76.798,4
0.627,0.109,5,-21.332,1,0.162,0.994,0.954,0.0742,0,104.685,3
0.178,0.00505,3,-32.978,1,0.0366,0.993,0.821,0.0844,0.0684,136.546,4
0.17,0.098,2,-18.199,0,0.0357,0.94,0.896,0.094,0.037,77.762,1
0.3,0.00723,7,-31.166,0,0.0373,0.957,0.91,0.0968,0.0397,54.984,4
0.229,0.126,10,-19.839,1,0.0375,0.969,0.92,0.207,0.182,80.997,1
0.251,0.456,11,-7.807,0,0.0346,0.584,0.000229,0.079,0.179,139.994,3
0.122,0.207,9,-17.492,0,0.0357,0.0126,0.886,0.107,0.0323,79.326,4
0.203,0.154,6,-15.555,0,0.0365,0.86,0.282,0.0914,0.133,81.359,4
0.341,0.254,0,-13.248,1,0.028,0.874,0.96,0.104,0.0564,68.571,3
0.0864,0.106,5,-20.633,0,0.0403,0.966,0.849,0.136,0.032,167.517,3
0,0.0795,2,-21.338,1,0,0.899,0.892,0.0795,0,0,0
0.277,0.0415,3,-23.933,1,0.0338,0.975,0.955,0.126,0.19,100.66,3
0.41,0.196,0,-15.956,1,0.0383,0.953,0.892,0.0974,0.0622,78.823,4
0.105,0.0948,5,-15.682,0,0.0387,0.965,0.915,0.209,0.0471,80.378,4
0.516,0.0778,4,-21.398,0,0.0695,0.985,0.886,0.123,0.179,71.093,3
0.27,0.00858,1,-33.835,1,0.0407,0.917,0.153,0.0809,0.116,48.028,4
0.107,0.075,9,-19.273,0,0.0494,0.757,0.911,0.102,0.0315,92.807,3
0.391,0.214,2,-18.899,0,0.0343,0.757,0.943,0.11,0.0337,106.196,3
0.255,0.0393,0,-27.549,0,0.0433,0.973,0.949,0.0775,0.0649,110.145,4
0.211,0.103,4,-16.54,0,0.0448,0.966,0.775,0.106,0.0421,72.091,5
0.358,0.042,6,-21.407,0,0.047,0.962,0.148,0.0956,0.112,119.091,4
0.396,0.381,7,-11.736,1,0.0289,0.64,0.00352,0.111,0.228,73.236,4
0.408,0.179,2,-13.623,1,0.0304,0.526,0.468,0.107,0.0627,90.043,3
0.0685,0.00769,7,-38.523,1,0.0439,0.991,0.859,0.107,0.111,74.874,3
0.449,0.611,4,-9.163,1,0.0333,0.484,0.826,0.101,0.116,149.819,4
0.218,0.00808,2,-35.692,0,0.0458,0.986,0.947,0.0716,0.0699,54.861,3
0.652,0.0761,7,-25.756,1,0.0337,0.991,0.896,0.11,0.247,84.011,3
0.266,0.298,3,-7.583,0,0.0293,0.29,0,0.117,0.104,140.119,4
0.247,0.144,7,-19.993,0,0.0319,0.97,0.957,0.379,0.108,80.159,3
0.0753,0.163,0,-17.328,1,0.0402,0.89,0.936,0.115,0.0395,76.405,4
0.0775,0.0631,5,-21.522,1,0.041,0.824,0.91,0.0922,0.038,175.466,3
0.0817,0.0865,7,-20.928,0,0.0469,0.723,0.967,0.0809,0.0356,83.615,4
0.606,0.0964,8,-19.163,1,0.051,0.98,0.944,0.143,0.143,75.011,4
0.571,0.402,0,-14.874,1,0.0317,0.745,0.924,0.0948,0.186,83.005,4
0.399,0.231,2,-10.208,0,0.0418,0.822,0.237,0.103,0.269,181.229,3
0.396,0.0469,4,-23.762,0,0.0623,0.984,0.944,0.0999,0.164,101.717,3
0.082,0.0158,9,-33.355,1,0.0466,0.976,0.988,0.0855,0.0377,170.441,3
0.225,0.0105,2,-33.902,0,0.038,0.97,0.954,0.0706,0.038,66.154,3
0.209,0.028,8,-25.304,0,0.0389,0.929,0.984,0.0969,0.0384,73.119,3
0.154,0.241,7,-21.771,0,0.0432,0.556,0.89,0.204,0.0391,137.177,4
